row_label,strat_type,sex,breakdown_cat,value,breakdown_var,outcome_var,table_id,nuts1
B - Estrazione di minerali da cave e miniere,sector,Female,≤ lower secondary,16.1,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Female,upper secondary,18.3,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Female,tertiary,20.1,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Female,total,18.5,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Male,≤ lower secondary,15.2,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Male,upper secondary,18.5,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Male,tertiary,27.7,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Male,total,17.8,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Total,≤ lower secondary,15.2,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Total,upper secondary,18.5,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Total,tertiary,26,education,hourly_wage,Tav.1,NA
B - Estrazione di minerali da cave e miniere,sector,Total,total,17.9,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Female,≤ lower secondary,11.3,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Female,upper secondary,13.3,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Female,tertiary,17.5,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Female,total,13.6,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Male,≤ lower secondary,13.3,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Male,upper secondary,15.5,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Male,tertiary,23.5,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Male,total,15.9,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Total,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Total,upper secondary,15,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Total,tertiary,21.3,education,hourly_wage,Tav.1,NA
C - Attività manifatturiere,sector,Total,total,15.3,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Female,≤ lower secondary,11.4,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Female,upper secondary,12.6,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Female,tertiary,16.5,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Female,total,13,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Male,≤ lower secondary,13.4,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Male,upper secondary,15.1,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Male,tertiary,22.6,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Male,total,15.4,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Total,≤ lower secondary,12.7,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Total,upper secondary,14.3,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Total,tertiary,19.7,education,hourly_wage,Tav.1,NA
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Total,total,14.5,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Female,≤ lower secondary,10.5,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Female,upper secondary,12,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Female,tertiary,16.2,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Female,total,11.9,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Male,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Male,upper secondary,14.7,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Male,tertiary,23.8,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Male,total,14.7,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Total,≤ lower secondary,11.6,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Total,upper secondary,13.2,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Total,tertiary,19,education,hourly_wage,Tav.1,NA
"CB - Industrie tessili e dell'abbigliamento, pelli ed accessori",sector,Total,total,13.1,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Female,≤ lower secondary,10.9,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Female,upper secondary,12.7,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Female,tertiary,16.2,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Female,total,13,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Male,≤ lower secondary,12.7,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Male,upper secondary,13.9,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Male,tertiary,21.5,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Male,total,14.1,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Total,≤ lower secondary,12.4,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Total,upper secondary,13.6,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Total,tertiary,19.4,education,hourly_wage,Tav.1,NA
CC - Industria del legno carta e stampa,sector,Total,total,13.8,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,≤ lower secondary,NA,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,upper secondary,13.7,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,tertiary,25.2,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Female,total,20.3,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,≤ lower secondary,15.1,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,upper secondary,22.4,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,tertiary,29.7,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Male,total,22.4,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,≤ lower secondary,15.1,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,upper secondary,21.5,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,tertiary,28.3,education,hourly_wage,Tav.1,NA
CD - Fabbricazione di coke e prodotti petroliferi raffinati,sector,Total,total,22.1,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,≤ lower secondary,12.5,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,upper secondary,15.5,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,tertiary,18.8,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Female,total,16.2,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,≤ lower secondary,15.1,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,upper secondary,18.3,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,tertiary,26.3,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Male,total,18.9,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,≤ lower secondary,14.6,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,upper secondary,17.5,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,tertiary,23,education,hourly_wage,Tav.1,NA
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,total,18.1,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,≤ lower secondary,14.6,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,upper secondary,16.7,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,tertiary,20.9,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,total,19,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,≤ lower secondary,16.3,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,upper secondary,18.2,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,tertiary,25.2,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,total,20.4,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,≤ lower secondary,15.8,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,upper secondary,17.8,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,tertiary,22.9,education,hourly_wage,Tav.1,NA
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,total,19.8,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,≤ lower secondary,12.1,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,upper secondary,13.9,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,tertiary,16.5,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,total,13.9,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,≤ lower secondary,13.5,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,upper secondary,15.5,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,tertiary,23.9,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,total,15.5,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,≤ lower secondary,13.3,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,upper secondary,15.1,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,tertiary,21.1,education,hourly_wage,Tav.1,NA
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,total,15.1,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,≤ lower secondary,11.6,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,upper secondary,13.2,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,tertiary,16.8,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,total,13.4,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,≤ lower secondary,13,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,upper secondary,14.3,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,tertiary,20.9,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,total,14.2,education,hourly_wage,Tav.1,NA
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
