row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
B - Estrazione di minerali da cave e miniere,sector,Female,16.1,≤ lower secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Female,18.3,upper secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Female,20.1,tertiary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Female,18.5,total,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Male,15.2,≤ lower secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Male,18.5,upper secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Male,27.7,tertiary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Male,17.8,total,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Total,15.2,≤ lower secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Total,18.5,upper secondary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Total,26,tertiary,education,hourly_wage,Tav.1
B - Estrazione di minerali da cave e miniere,sector,Total,17.9,total,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Female,11.3,≤ lower secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Female,13.3,upper secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Female,17.5,tertiary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Female,13.6,total,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Male,13.3,≤ lower secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Male,15.5,upper secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Male,23.5,tertiary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Male,15.9,total,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Total,12.9,≤ lower secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Total,15,upper secondary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Total,21.3,tertiary,education,hourly_wage,Tav.1
C - Attività manifatturiere,sector,Total,15.3,total,education,hourly_wage,Tav.1
"CA - Industrie alimentari, delle bevande e del tabacco",sector,Female,11.4,≤ lower secondary,education,hourly_wage,Tav.1
